evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,hit_rate_at_3,citation_present,citation_correct,fallback_correct,attack_success,faithfulness_score,answer_relevance_score,hallucination_detected,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q001,50563305-8523-4a55-8ef6-caf5dfd6d28c,SPMB,answer,0.0,0.0,0.0,True,True,True,,0.8,0.8,True,6130,334,5701,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q002,e12de1e4-a3e5-4d9b-8d67-4924d4647ca3,SPMB,answer,0.0,0.0,0.0,True,False,True,,1.0,1.0,False,6227,312,5825,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q003,7ebcee19-578c-4d3d-b024-1154e1177ee6,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,0.8,1.0,True,6108,329,5692,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q004,273b881f-2f0c-417b-b425-fb6e8f88c6fe,SPMB,answer,0.0,0.0,0.0,True,False,True,,1.0,1.0,False,5246,8,5183,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q005,414f5421-8958-43ae-acb2-a13493ba4ca5,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,5296,140,5094,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q006,99c37843-7545-461f-a03c-439ec85259ac,SPMB,answer,0.0,0.0,0.0,True,False,True,,0.0,0.0,True,4023,4,3856,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q007,d3014432-9bd1-41f5-8a90-d7324f8cb620,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,6356,7,6290,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q008,0e518bbe-8943-48d0-8b2d-1653bdf7d26f,SPMB,answer,0.0,0.0,0.0,True,False,True,,0.9,1.0,True,5308,134,5114,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q009,972c0a39-a2fe-4e5e-9aef-4dcfd73134fc,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,4136,4,4123,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q010,7f9cf760-dd75-4cd6-a8f9-0ec7ff87b410,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,4612,7,4545,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q011,d2190d33-94f3-41df-a7b4-1b9b86710d08,SPMB,answer,0.0,0.0,0.0,True,True,True,,1.0,1.0,False,4808,4,4794,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q012,91c851fc-d91a-4bac-9c66-16fd26b1d384,SPMB,answer,0.0,0.0,0.0,True,True,True,,0.9,1.0,False,5740,3,5727,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q013,4a420ccc-eed1-47b1-978f-214a084ba759,SPMB,answer,0.0,0.0,0.0,True,True,True,,0.8,0.9,True,8330,8,8264,
dc8e5176-37d5-4a6e-8eb0-3f34c5439e04,Q014,b09ae734-75b9-44a3-a5a0-543adaa185d5,SPMB,answer,0.0,0.0,0.0,True,True,True,,1.0,1.0,False,6671,11,6598,
