evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,hit_rate_at_3,citation_present,citation_correct,fallback_correct,attack_success,faithfulness_score,answer_relevance_score,hallucination_detected,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes
010a469d-343d-4480-bb51-ba1811a85222,Q001,7dca6837-2811-4cdc-9046-40e9c07377ce,SPMB,answer,0.0,0.0,0.0,True,True,True,,1.0,0.7,False,7775,333,6053,
010a469d-343d-4480-bb51-ba1811a85222,Q002,93843459-3c6d-4f15-992a-99bb33aa15a1,SPMB,answer,0.0,0.0,0.0,False,False,False,,,,,4995,323,4544,
010a469d-343d-4480-bb51-ba1811a85222,Q003,ff166569-f1ac-44b4-b781-213889b536a4,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,8915,339,8457,
010a469d-343d-4480-bb51-ba1811a85222,Q004,38290c90-1677-435d-b1d8-af11a0b28942,SPMB,answer,0.0,0.0,0.0,True,False,True,,1.0,0.8,False,7776,5,6074,
010a469d-343d-4480-bb51-ba1811a85222,Q005,56f951c0-ccec-49ed-bac0-e9850c2a1b99,SPMB,answer,0.0,0.0,0.0,True,True,True,,1.0,1.0,False,7378,158,5948,
010a469d-343d-4480-bb51-ba1811a85222,Q006,22125122-8c71-4d9e-9edc-a2c0f6c120a2,SPMB,answer,0.0,0.0,0.0,False,False,False,,,,,4954,4,4882,
010a469d-343d-4480-bb51-ba1811a85222,Q007,60160d8f-b1b1-4c98-9db9-f38b0dcec499,SPMB,answer,0.3333333333333333,1.0,1.0,True,False,False,,,,,4952,6,4885,
010a469d-343d-4480-bb51-ba1811a85222,Q008,b9a4849e-f37d-47bf-a9be-961f5d1ae20e,SPMB,answer,0.0,0.0,0.0,False,False,False,,,,,4568,134,4369,
010a469d-343d-4480-bb51-ba1811a85222,Q009,cafbadef-1723-4ab4-9242-3c12cbfb0bf8,SPMB,answer,0.3333333333333333,1.0,1.0,False,False,False,,,,,8045,4,6670,
010a469d-343d-4480-bb51-ba1811a85222,Q010,c5d1ed6f-f454-4e7b-a495-9ea720fa240d,SPMB,answer,0.3333333333333333,1.0,1.0,True,True,True,,1.0,1.0,False,7175,7,5825,
